date,usage
20160404,99906
20160405,391867
20160406,391867
20160407,221550
20160408,411932
20160409,411932
20160410,368800
20160411,395715
20160412,395715
20160413,395715
20160414,368691
20160415,387818
20160416,267274
20160417,333241
20160418,408818
20160419,427331
20160420,163064
20160421,163064
20160422,363009
20160423,141617
20160424,172553
20160425,359521
20160426,359521
20160427,387711
20160428,410487
20160429,440534
20160430,440534
20160501,311559
20160502,171013
20160503,393423
20160504,378960
20160505,385723
20160506,404329
20160507,104865
20160508,104865
20160509,299311
20160510,351652
20160511,417255
20160512,403507
20160513,401015
20160514,401015
20160515,401015
20160516,410458
20160517,414520
20160518,419320
20160519,413270
20160520,198794
20160521,198794
20160522,231808
20160523,359906
20160524,391483
20160525,391483
20160526,410936
20160527,335628
20160528,335628
20160529,256687
20160530,431620
20160531,403500
20160601,139040
20160602,139040
20160603,366003
20160604,384378
20160605,357308
20160606,389276
20160607,389276
20160608,386640
20160609,320775
20160610,294855
20160611,294855
20160612,132311
20160613,407696
20160614,407696
20160615,407696
20160616,401328
20160617,420406
20160618,420406
20160619,369876
20160620,352088
20160622,345553
20160623,345553
20160624,345553
20160625,127155
20160626,195775
20160627,195775
20160628,195775
20160629,195775
20160630,195775
20160701,195775
20160702,195775
20160703,243248
20160704,243248
20160705,389232
20160706,389232
20160707,378969
20160708,397230
20160709,397230
20160710,397230
20160711,350704
20160712,387917
20160713,351287
20160714,367356
20160715,362656
20160716,362656
20160717,272583
20160718,329724
20160719,388851
20160720,353349
20160721,335449
20160722,335449
20160723,335449
20160724,335449
20160914,321563
20160915,321563
20160916,321563
20160918,321563
20160919,321563
20160920,321563
20160921,321563
20160922,321563
20160923,321563
20160924,321563
20160925,321563
20160926,321563
20160927,321563
20160928,321563
20160929,321563
20160930,321563
20161001,321563
20161002,321563
20161004,330209
20161005,330209
20161006,330209
20161007,205536
20161008,205536
20161009,205536
20161010,205536
20161011,205536
20161012,443390
20161013,443523
20161014,397278
20161015,397278
20161016,397278
20161018,397278
20161019,397278
20161020,397278
20161021,273761
20161022,273761
20161023,339873
20161024,273761
20161025,273761
20161026,394116
20161027,335795
20161028,335795
20161029,335795
20161030,335795
20161031,335795
20161102,335795
20161103,335795
20161104,335795
20161105,335795
20161106,335795
20161107,335795
20161108,335795
20161109,335795
20161110,335795
20161111,335795
20161112,335795
20161113,335795
20161114,335795
20161115,335795
20161116,335795
20161117,335795
20161118,335795
20161119,335795
20161120,335795
20161121,335795
20161122,335795
20161123,335795
20161124,335795
20161125,335795
20161126,335795
20161127,335795
20161129,335795
20161130,335795
20161201,335795
20161202,335795
20161203,335795
20161204,335795
20161205,335795
20161206,335795
20161207,335795
20161208,335795
20161209,335795
20161210,335795
20161211,335795
20161212,335795
20161213,335795
20161214,335795
20161215,335795
20161216,335795
20161217,335795
20161218,335795
20161219,335795
20161220,335795
20161221,335795
20161222,335795
20161223,335795
20161224,335795
20161225,335795
20161226,335795
20161227,335795
20161228,335795
20161229,335795
20161230,335795
20161231,335795
20170101,335795
20170102,335795
20170103,335795
20170104,335795
20170105,335795
20170106,335795
20170107,335795
20170108,335795
20170109,335795
20170110,335795
20170111,335795
20170112,335795
20170113,335795
20170114,335795
20170115,335795
20170116,335795
20170117,335795
20170118,335795
20170119,335795
20170120,335795
20170121,335795
20170122,335795
20170123,335795
20170124,335795
20170125,335795
20170126,335795
20170127,335795
20170128,335795
20170129,335795
20170130,335795
20170131,335795
20170201,335795
20170202,335795
20170203,335795
20170204,335795
20170205,335795
20170206,335795
20170207,335795
20170208,335795
20170209,335795
20170210,335795
20170211,335795
20170212,335795
20170213,335795
20170214,335795
20170215,335795
20170216,335795
20170217,335795
20170218,335795
20170219,335795
20170220,335795
20170221,335795
20170222,335795
20170223,335795
20170224,335795
20170225,335795
20170226,335795
20170227,335795
20170228,335795
20170301,335795
20170302,335795
20170303,335795
20170304,335795
20170305,335795
20170306,335795
20170307,335795
20170308,335795
20170309,335795
20170310,335795
20170311,335795
20170312,335795
20170313,335795
20170314,335795
20170315,335795
20170316,335795
20170317,335795
20170318,335795
20170319,335795
20170320,335795
20170321,335795
20170322,335795
20170323,335795
20170324,335795
20170325,335795
20170326,335795
20170327,335795
20170328,335795
20170329,335795
20170330,335795
20170331,335795
20170401,335795
20170402,335795
20170403,335795
20170404,335795
20170405,335795
20170406,335795
20170407,335795
20170408,335795
20170409,335795
20170410,335795
20170411,335795
20170412,335795
20170413,335795
20170414,335795
20170415,335795
20170416,335795
20170417,335795
20170418,335795
20170419,335795
20170420,335795
20170421,335795
20170422,335795
20170423,335795
20170424,335795
20170425,335795
20170426,335795
20170427,335795
20170428,335795
20170430,335795
